manuscript,line,section,token,linked_evidence_ids,resolution_requirement,context
manuscript/nature_article_draft.md,59,Data sources,DATA_ACCESS_REQUIRED,e00_data_qc;data_access_era5;data_access_modis;data_access_fluxnet,"Replace only after provider access, product versions, request parameters, policy notes and checksums are recorded.",ERA5 and ERA5-Land climate variables will be acquired from the Copernicus Climate Data Store. MODIS Terra and Aqua vegetation-index products will be acquired through NASA data services. FLUXNET data will be used under the applicable FLUXNET data policy for independent ecosystem-function validation. DATA_ACCESS_REQUIRED.
manuscript/nature_article_draft.md,79,Figure legends,RESULT_REQUIRED,stress_event_catalogue;minimum_publishable_evidence_slice;figure_package,"Replace only after the stress-event catalogue, QC report and pilot/full Fig. 1 artifacts exist.","**Figure 1 | Global workflow for AI-guided vegetation-stress discovery.** Data sources, quality filtering, anomaly estimation, event definition, model training and validation design. RESULT_REQUIRED for final panel values."
manuscript/nature_article_draft.md,81,Figure legends,RESULT_REQUIRED,precursor_discovery;temporal_holdout_validation;spatial_holdout_validation;robustness_falsification;figure_package,"Replace only after candidate precursor states survive interpretability, temporal, spatial and robustness validation.","**Figure 2 | Climate precursor states preceding vegetation stress.** Spatial distribution, lead times and feature-attribution evidence for validated precursor patterns. RESULT_REQUIRED."
manuscript/nature_article_draft.md,83,Figure legends,RESULT_REQUIRED,baseline_evaluation;predictive_validation;robustness_falsification;figure_package,"Replace only after validation metrics, uncertainty intervals and baseline comparisons support the claimed performance.","**Figure 3 | Predictive validation against baseline climate indices and models.** Temporal and spatial holdout performance, calibration and uncertainty intervals. RESULT_REQUIRED."
manuscript/nature_article_draft.md,85,Figure legends,RESULT_REQUIRED,ecosystem_validation;figure_package,Replace only after FLUXNET or other independent ecosystem-function validation artifacts support the claim.,**Figure 4 | Independent ecosystem-function validation.** FLUXNET site evidence linking predicted precursor states to gross primary productivity or latent heat anomalies. RESULT_REQUIRED.
manuscript/nature_article_draft.md,89,Data availability,DATA_ACCESS_REQUIRED,e00_data_qc;data_access_era5;data_access_modis;data_access_fluxnet,"Replace only after provider access, product versions, request parameters, policy notes and checksums are recorded.","ERA5/ERA5-Land data are available from the Copernicus Climate Data Store. MODIS vegetation-index products are available through NASA data services. FLUXNET data availability depends on the applicable FLUXNET access and use policy. The final manuscript will include exact product versions, request parameters, date ranges, preprocessing scripts and accession or download links. DATA_ACCESS_REQUIRED."
manuscript/nature_article_draft.md,93,Code availability,RESULT_REQUIRED,manuscript_finalization,"Replace only after public code release, archive DOI and checkpoint availability are documented.","Analysis code will be made available in a public repository after removing credentials and confirming data-use compliance. The repository will include environment files, data-preparation scripts, model-training entrypoints, validation routines and figure-generation commands. RESULT_REQUIRED for commit hash, archive DOI and trained-checkpoint availability."
manuscript/nature_article_draft.md,97,Acknowledgements,AUTHOR_REQUIRED,AUTHOR_INPUT_REQUIRED,"Replace only after authors provide names, affiliations, contributions, acknowledgements and competing-interest statements.",AUTHOR_REQUIRED.
manuscript/nature_article_draft.md,101,Author contributions,AUTHOR_REQUIRED,AUTHOR_INPUT_REQUIRED,"Replace only after authors provide names, affiliations, contributions, acknowledgements and competing-interest statements.",AUTHOR_REQUIRED.
manuscript/nature_article_draft.md,105,Competing interests,AUTHOR_REQUIRED,AUTHOR_INPUT_REQUIRED,"Replace only after authors provide names, affiliations, contributions, acknowledgements and competing-interest statements.","The authors declare no competing interests, or AUTHOR_REQUIRED if a different statement is needed."
manuscript/nature_article_draft.md,113,References to verify before submission,RESULT_REQUIRED,manuscript_finalization,Replace only after targeted literature review and reference metadata audit are complete.,"5. Additional recent references on compound climate extremes, vegetation stress, AI interpretability and ecological early warning are RESULT_REQUIRED."
